City ID,City,Latitude,Longitude,Maximum Temperature,Humidity,Cloud Cover,Wind Speed,Country,Date
0,qaanaaq,77.48,-69.36,269.64,94,63,0.71,GL,1591236285
1,chicama,-7.84,-79.15,292.44,81,97,3.69,PE,1591236285
2,fortuna,40.6,-124.16,288.15,82,20,5.1,US,1591236285
3,port alfred,-33.59,26.89,289.26,96,100,1.24,ZA,1591236285
4,hanyang,32.14,105.51,300.93,57,74,2.28,CN,1591236286
5,pevek,69.7,170.31,278.45,72,39,2.58,RU,1591236286
6,jamestown,42.1,-79.24,292.15,82,1,4.6,US,1591236136
7,kaitangata,-46.28,169.85,281.48,73,100,4.92,NZ,1591236286
8,victoria,22.29,114.16,304.15,66,20,5.1,HK,1591236212
9,hualmay,-11.1,-77.61,290.71,86,22,4.44,PE,1591236286
10,alihe,50.57,123.72,292.13,39,57,1.86,CN,1591236286
11,tambacounda,13.75,-13.76,309.15,22,88,5.1,SN,1591236286
12,arraial do cabo,-22.97,-42.03,293.15,94,20,1.0,BR,1591236005
13,maues,-3.38,-57.72,296.91,97,61,0.55,BR,1591236286
14,zhuhai,22.28,113.57,305.93,79,40,5.7,CN,1591236286
15,monte alegre,-2.01,-54.07,297.3,86,41,1.87,BR,1591236287
16,abohar,30.15,74.18,305.92,31,15,2.04,IN,1591236287
17,mataura,-46.19,168.86,280.06,87,100,2.1,NZ,1591236287
18,ahuimanu,21.44,-157.84,304.15,58,20,6.2,US,1591236287
19,muisne,0.6,-80.03,297.42,87,100,3.7,EC,1591236287
20,setermoen,68.86,18.35,279.26,75,100,6.2,NO,1591236287
21,bilibino,68.05,166.44,286.31,53,100,1.89,RU,1591236287
22,vaini,-21.2,-175.2,300.15,78,20,4.6,TO,1591236287
23,rio gallegos,-51.62,-69.22,282.15,57,75,9.8,AR,1591236287
24,arcachon,44.59,-1.05,289.15,82,23,2.1,FR,1591236287
25,bluff,-46.6,168.33,281.43,74,100,8.74,NZ,1591236288
26,ushuaia,-54.8,-68.3,279.15,60,20,4.1,AR,1591236248
27,butaritari,3.07,172.79,301.54,73,85,3.21,KI,1591236288
28,honningsvag,70.98,25.97,279.42,80,89,2.7,NO,1591236288
29,oussouye,12.48,-16.55,297.38,72,2,3.89,SN,1591236288
30,portalegre,39.29,-7.43,291.15,77,16,3.6,PT,1591236288
31,grindavik,63.84,-22.43,281.15,93,70,3.6,IS,1591236288
32,tonj,7.27,28.68,294.37,87,85,2.61,SS,1591236288
33,tasiilaq,65.61,-37.64,277.15,80,100,1.5,GL,1591236288
34,albany,42.6,-73.97,293.71,92,16,2.79,US,1591236288
35,busselton,-33.65,115.33,288.15,73,0,2.81,AU,1591236243
36,harsum,52.21,9.96,287.59,80,100,2.06,DE,1591236288
37,dudinka,69.41,86.18,284.15,62,87,7.0,RU,1591236289
38,santa vitoria do palmar,-33.52,-53.37,283.14,81,6,1.43,BR,1591236289
39,aksarka,66.56,67.8,283.08,49,93,3.02,RU,1591236289
40,rikitea,-23.12,-134.97,297.64,80,100,8.47,PF,1591236289
41,cidreira,-30.18,-50.21,289.69,84,10,4.82,BR,1591236289
42,dubinino,55.62,89.09,283.3,64,99,1.86,RU,1591236244
43,lebu,-37.62,-73.65,282.83,84,0,4.84,CL,1591236289
44,hobart,-42.88,147.33,284.82,53,0,7.7,AU,1591236034
45,te anau,-45.42,167.72,279.1,88,100,2.09,NZ,1591236289
46,tiksi,71.69,128.87,275.28,81,1,2.54,RU,1591236289
47,georgetown,5.41,100.34,300.15,88,40,1.5,MY,1591236120
48,bethel,41.37,-73.41,294.15,88,90,4.6,US,1591236059
49,katsuura,35.13,140.3,299.26,70,100,2.68,JP,1591236290
50,manokwari,-0.87,134.08,302.75,64,0,1.82,ID,1591236290
51,saint george,37.1,-113.58,310.37,10,1,2.6,US,1591236290
52,port augusta,-32.5,137.77,286.15,62,94,2.6,AU,1591236290
53,port macquarie,-31.43,152.92,289.82,68,37,0.45,AU,1591236290
54,puerto ayora,-0.74,-90.35,296.48,93,31,1.34,EC,1591236290
55,hvide sande,56.0,8.13,285.37,85,100,3.72,DK,1591236290
56,manoel urbano,-8.84,-69.26,295.59,97,35,1.0,BR,1591236290
57,castro,-24.79,-50.01,287.42,97,98,3.6,BR,1591236291
58,thiruvananthapuram,8.48,76.92,300.15,94,75,0.5,IN,1591236291
59,sorland,67.67,12.69,280.26,82,100,8.94,NO,1591236291
60,husavik,66.04,-17.34,277.15,80,90,3.1,IS,1591236291
61,punta arenas,-53.15,-70.92,278.15,86,90,10.3,CL,1591236291
62,khatanga,71.97,102.5,286.47,43,61,4.68,RU,1591236291
63,hobyo,5.35,48.53,300.7,72,86,7.57,SO,1591236291
64,arkhipo-osipovka,44.37,38.52,288.09,84,47,1.15,RU,1591236291
65,saint-philippe,-21.36,55.77,291.15,63,46,5.1,RE,1591236291
66,shubarkuduk,49.14,56.49,293.25,50,64,9.31,KZ,1591236291
67,jinxiang,22.86,115.7,302.49,76,96,5.77,CN,1591236291
68,leningradskiy,69.38,178.42,279.13,64,5,3.13,RU,1591236292
69,atuona,-9.8,-139.03,300.35,77,2,6.79,PF,1591236292
70,carnarvon,-24.87,113.63,297.91,31,0,3.07,AU,1591236292
71,ilulissat,69.22,-51.1,275.15,80,16,1.0,GL,1591236292
72,new norfolk,-42.78,147.06,284.82,65,0,0.45,AU,1591236292
73,benjamin constant,-4.38,-70.03,297.15,100,75,1.5,BR,1591236292
74,dekar,-21.53,21.93,283.35,51,0,1.95,BW,1591236292
75,komsomolskiy,40.43,71.72,296.15,46,0,2.1,UZ,1591236292
76,oranjestad,12.52,-70.03,301.15,78,20,7.2,AW,1591236292
77,coquimbo,-29.95,-71.34,284.15,71,75,5.1,CL,1591236292
78,abnub,27.27,31.15,296.15,46,0,1.5,EG,1591236293
79,mayor pablo lagerenza,-19.93,-60.77,290.62,83,80,2.09,PY,1591236293
80,alofi,-19.06,-169.92,300.15,65,40,8.7,NU,1591236293
